path,zone,trust,auto_generated,has_citations_frontmatter,proposed_tag
global/domain_intel/capabilities/iron-stallion.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/kbr-cyber-range.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/kbr-digital-accelerators-portfolio.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/kbr-inc.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/kbr-readiness-and-sustainment.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/kbr-vaault.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/kbrain.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/logcap-v-contract.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/owned-ip-digital-accelerators-discriminator.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/petabyte-scale-cloud-migration-proof-point.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/proven-sustainment-scale-discriminator.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/quality-management-system-certification.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/quantum-pantheon.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/resan.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/safety-critical-compliance-proof-point.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/skypath-assured-containment.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/ttmt-tracking-and-targeting.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/u-s-space-force-ssa-performance-iron-stallion.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/viaverse-estates-intelligence-platform.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/wraith.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/domain-intel.md,domain_intel,trusted,n,n,REWRITE
global/domain_intel/milestones/milestones-overview.md,domain_intel,trusted,n,n,REWRITE
global/domain_intel/milestones/ms1-qualification.md,domain_intel,trusted,n,n,KEEP
global/domain_intel/milestones/ms2-pursuit.md,domain_intel,trusted,n,n,KEEP
global/domain_intel/milestones/ms3-bid-no-bid.md,domain_intel,trusted,n,n,KEEP
global/domain_intel/milestones/ms4-pricing-approval.md,domain_intel,trusted,n,n,KEEP
global/domain_intel/milestones/README.md,domain_intel,,n,n,REWRITE
global/domain_intel/README.md,domain_intel,,n,n,REWRITE
global/domain_intel/thread-role.md,domain_intel,trusted,n,n,REWRITE
global/global_wiki/capture/bid-no-bid-decision-framework.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/capture-insights-glossary.md,global_wiki,trusted,n,n,REWRITE
global/global_wiki/capture/capture-insights-index.md,global_wiki,trusted,n,n,REWRITE
global/global_wiki/capture/capture-plan-development.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/competitive-intelligence-sources.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/concepts/access-lens.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/agency-shape-gate.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/buying-posture.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/capture-intensity.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/combo-signals.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/combo-tier.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/competitor-posture.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/customer-position.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/dominant-flexible-type.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/extent-competed.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/ffp-shaping-radar.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/firm-fixed-pricing.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/follow-the-money.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/future-funding.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/gap-fill-teaming.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/geo-concentration.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/hot-agency-recompete.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/hot-agency.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/idiq-task-orders.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/market-concentration.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/market-momentum.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/market-tam.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/match-lens.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/non-fixed-pricing.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/place-of-performance.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/pressure-tier.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/pricing-buckets.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/pursuit-lens.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/qual-gate.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/recompete-radar.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/relationship-heatmap.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/sam-live-discovery.md,concepts,trusted,n,n,KEEP
global/global_wiki/capture/concepts/set-aside-mix.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/shape-target-gate.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/shared-buyers.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/state-quadrant.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/strategy-lens.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/suitability.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/synergy.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/teaming-fit.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/vehicle-concentration.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/concepts/vehicle-holders.md,concepts,trusted,n,n,RESCOUT
global/global_wiki/capture/customer-call-planning.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/customer-hot-button-identification.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/discriminator-development.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/gate-review-process.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/incumbent-analysis-strategy.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/opportunity-shaping-strategy.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/price-to-win-analysis.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/proof-point-development.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/pwin-probability-assessment.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/teaming-strategy-development.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/capture/vault_lint_report.md,global_wiki,,n,n,REWRITE
global/global_wiki/capture/win-loss-analysis.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/adjectival-rating-scale-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/best-value-tradeoff-methodology.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/color-rating-system.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/competitive-range-determination.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/confidence-rating-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/discussions-and-final-proposal-revisions.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/evaluation-deficiencies.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/evaluation-strengths.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/evaluation-weaknesses.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/lpta-award-methodology.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/management-approach-evaluation-factor.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/oral-presentations.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/past-performance-evaluation-factor.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/price-cost-evaluation-factor.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/relative-importance-language.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/small-business-participation-evaluation-factor.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/source-selection-decision-document.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/source-selection-team-structure.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/evaluation/technical-approach-evaluation-factor.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/global-wiki.md,global_wiki,trusted,n,n,REWRITE
global/global_wiki/lessons_learned/agency-specific-evaluation-tendencies.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/ambiguous-requirement-red-flags.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/common-proposal-disqualification-causes.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/debrief-exploitation-strategy.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/evaluator-perspective-understanding.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/explicit-benefit-linkage-rule.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/gao-protest-risk-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/hidden-requirement-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/idiq-task-order-strategy.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/it-services-proposal-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/lessons-learned-index.md,global_wiki,trusted,n,n,REWRITE
global/global_wiki/lessons_learned/outstanding-rating-reality.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/past-performance-relevance-reality.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/professional-services-proposal-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/recompete-strategy-distinctions.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/rfp-q-and-a-strategy.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/lessons_learned/set-aside-strategy-considerations.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/README.md,global_wiki,,n,n,REWRITE
global/global_wiki/regulations/best-value-tradeoff-analysis.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/cmmc-certification-framework.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/contractor-performance-assessment-reporting.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/dfars-cybersecurity-requirements.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/dfars-subcontracting-requirements.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/far-15-505-15-506-debrief-rights.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/far-compliance-best-practices.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/far-part-12-commercial-items.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/far-part-15-competitive-negotiation.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/far-part-16-contract-type-selection.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/naics-code-and-size-standard-strategy.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/organizational-conflict-of-interest.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/proprietary-data-rights-and-markings.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/section-508-accessibility-requirements.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/section-889-prohibition.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/section-l-proposal-instructions-analysis.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/regulations/section-m-evaluation-criteria-analysis.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/shipley/action-caption.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/annotated-outline.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/black-hat-review.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/capture-planning-phase.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/color-team-reviews.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/compliance-matrix.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/executive-summary-writing-rules.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/ghost-strategy.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/gold-team-review.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/government-cover-letter-structure.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/opportunity-identification-phase.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/orange-team-review.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/pink-team-review.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/proposal-development-phase.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/proposal-development-worksheet.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/proposal-planning-phase.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/proposal-schedule.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/pursuit-decision-phase.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/red-team-review.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/section-l-m-mapping.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/shipley-business-development-lifecycle.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/storyboard-content-plan.md,shipley,trusted,y,n,REWRITE
global/global_wiki/shipley/win-theme-development.md,shipley,trusted,y,n,REWRITE
global/global_wiki/workload/agile-capacity-estimation.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/basis-of-estimate-development.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/cloud-cost-estimation.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/indirect-rate-structure.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/labor-category-mix-planning.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/labor-hour-calculation-methodology.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/operations-and-maintenance-staffing-model.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/other-direct-costs-estimation.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/service-desk-staffing-model.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/software-development-staffing-model.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/system-administration-staffing-ratios.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/test-and-quality-assurance-staffing.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/tiered-support-staffing-ratios.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/travel-cost-estimation-patterns.md,global_wiki,trusted,y,n,REWRITE
global/global_wiki/workload/utilization-rate-standards.md,global_wiki,trusted,y,n,REWRITE
global/INDEX.md,global,,n,n,KEEP
index.md,meta,,n,n,KEEP
log.md,meta,,n,n,KEEP
pursuits/INDEX.md,pursuits,,n,n,KEEP
README.md,meta,,n,n,KEEP
relationships/ENTITY_RELATIONSHIPS.md,relationships,,n,n,KEEP
relationships/README.md,relationships,,n,n,KEEP
